,,,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_change_from_baseline_percent,trabecular_BMD_change_from_baseline_percent,trabecular_BMD_change_from_baseline_percent,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_change_from_baseline_percent,cortical_BMD_change_from_baseline_percent,cortical_BMD_change_from_baseline_percent
Source Name,PWB,Duration,0 week,1 week,2 week,4 week,1 week,2 week,4 week,0 week,1 week,2 week,4 week,1 week,2 week,4 week
509770,PWB40,2wk,207.2,175.8,154.7,,-15.2,-25.3,,1283.5,1294.6,1298.4,,0.9,1.2,
509771,PWB20,4wk,211.2,154.5,153.7,152.8,-26.8,-27.2,-27.7,1281,1287.8,1278.8,1290.2,0.5,-0.2,0.7
509772,PWB20,4wk,305.5,272.6,250.3,211.9,-10.8,-18.1,-30.6,1263.3,1284.4,1278.2,1294.1,1.7,1.2,2.4
509773,PWB100,4wk,236.5,193.5,202.7,189.3,-18.2,-14.3,-20,1282.1,1271.4,1289.4,1291.2,-0.8,0.6,0.7
509774,PWB70,2wk,212.8,196.3,194.6,,-7.8,-8.6,,1286.6,1290.5,1292.1,,0.3,0.4,
509775,PWB70,2wk,190.8,177.5,154.8,,-7,-18.9,,1282.1,1284.1,1293.9,,0.2,0.9,
509776,PWB40,4wk,323.2,308.8,285.5,243.7,-4.5,-11.7,-24.6,1310.8,1342.1,1332.5,1350.6,2.4,1.7,3
509777,PWB100,4wk,201.1,194.5,204.8,213.7,-3.3,1.8,6.3,1301.3,1301.9,1308.8,1308.8,0,0.6,0.6
509778,PWB100,4wk,202.2,175,178.9,197.1,-13.5,-11.5,-2.5,1280.7,1308.4,1307.6,1321.9,2.2,2.1,3.2
511685,PWB40,4wk,202.2,187.7,155.5,137.7,-7.2,-23.1,-31.9,1283.9,1274.7,1287.2,1283.1,-0.7,0.3,-0.1
511686,PWB100,4wk,186.9,182.5,189.1,169.5,-2.4,1.2,-9.3,1291.5,1296.8,1298.2,1309.8,0.4,0.5,1.4
511688,PWB20,4wk,187.4,164,161.2,147.6,-12.5,-14,-21.2,1244.8,1251.5,1254.7,1265.5,0.5,0.8,1.7
511689,PWB70,4wk,172.8,171,148.4,151.2,-1,-14.1,-12.5,1291.4,1292.6,1310.7,1314.4,0.1,1.5,1.8
511690,PWB40,2wk,238.7,218.8,178.6,,-8.3,-25.2,,1283.5,1295.4,1308.3,,0.9,1.9,
511691,PWB20,2wk,188.3,156.6,124.9,,-16.8,-33.7,,1266.8,1266.6,1286.9,,0,1.6,
511692,PWB20,2wk,169.4,170.1,139.9,,0.4,-17.4,,1275.7,1283.5,1273,,0.6,-0.2,
511693,PWB70,2wk,225.8,215.3,194.5,,-4.7,-13.9,,1265.5,1259.2,1279.8,,-0.5,1.1,
511694,PWB100,2wk,186.9,182.4,164.3,,-2.4,-12.1,,1271.6,1256.8,1254.5,,-1.2,-1.3,
511695,PWB70,2wk,209.2,203.5,171,,-2.7,-18.3,,1268.9,1272.5,1262.9,,0.3,-0.5,
511696,PWB70,4wk,233.5,230.7,215.1,200.7,-1.2,-7.9,-14,1269.1,1274.4,1273.7,1281.3,0.4,0.4,1
511697,PWB40,4wk,182.3,157.7,148,138.9,-13.5,-18.8,-23.8,1261.9,1262.8,1254,1252.3,0.1,-0.6,-0.8
511698,PWB100,4wk,181.6,178.4,178,142.1,-1.8,-2,-21.8,1264.8,1239.5,1253.4,1250.1,-2,-0.9,-1.2
511699,PWB40,4wk,251.8,229,229.9,212,-9.1,-8.7,-15.8,1263.7,1274.5,1277.2,1296.6,0.9,1.1,2.6
511700,PWB20,4wk,202.1,181.1,186.5,164.3,-10.4,-7.7,-18.7,1257.6,1257.3,1255.4,1255,0,-0.2,-0.2
511702,PWB70,4wk,199.8,197.3,180,168.1,-1.3,-9.9,-15.9,1265.1,1284.4,1274.8,1283.5,1.5,0.8,1.5
511703,PWB40,4wk,257.3,256.9,213.9,200.4,-0.2,-16.9,-22.1,1259.1,1253.7,1268,1271.3,-0.4,0.7,1
511704,PWB20,4wk,208.8,170.5,146.1,159,-18.3,-30,-23.9,1277.8,1284.3,1282.2,1282,0.5,0.3,0.3
511705,PWB20,4wk,250.9,223.8,187.8,152.2,-10.8,-25.1,-39.3,1251.6,1257,1277.7,1281.7,0.4,2.1,2.4
511706,PWB100,4wk,176.6,178.3,173.9,159.7,1,-1.5,-9.6,1255.8,1271.6,1271.5,1289.9,1.3,1.3,2.7
511707,PWB70,4wk,206.4,198.6,180.8,178,-3.8,-12.4,-13.8,1263.7,1280,1265.2,1274.8,1.3,0.1,0.9
511708,PWB40,4wk,188.7,162.6,160.6,134.1,-13.8,-14.9,-28.9,1258.5,1259.2,1280.6,1277.5,0.1,1.8,1.5
511709,PWB70,4wk,173.5,165.5,144.8,134.3,-4.6,-16.5,-22.6,1265.8,1264.5,1280.9,1287,-0.1,1.2,1.7
515406,PWB20,4wk,227.1,178.5,139.5999999,227.1,-14.1,-21.4,-38.5,,,,,,,
515407,PWB20,4wk,279.6,264.7,237.9,206,-5.3,-14.9,-26.3,1268.2,1286.8,1279.3,1288.6,1.5,0.9,1.6
515408,PWB100,4wk,257.8,251.7,257.1,256.8,-2.4,-0.3,-0.4,1274.8,1261.5,1265.8,1261.5,-1,-0.7,-1
